# Column,Old name(s),Category,Definition,Not used?,In kitten?
LABEL,LABEL_K2C1 LABEL_K2C1_BAM LABEL_K2C2_BAM LABEL_K2C3_BAM LABEL_K2C4_BAM LABEL_K2C6_BAM LABEL_K2C7_BAM LABEL_LAMOST LABEL_K2C11_BAM LABEL_EXO LABEL_COROGEE LABEL_K2C1_SYD LABEL_K2C2_SYD LABEL_K2C3_SYD LABEL_K2C4_SYD LABEL_K2C6_SYD LABEL_K2C7_SYD LABEL_K2C11_SYD,ID,"A label added by the flag `add_label=True` in Skycats, which can be used to identify which survey/K2 campaign a star was observed in",0,1
KIC_ID,KIC_TIC KICID_YU KIC_ID_YU KeplerID_MAST Kepler_ID_MAST KIC_ID_TYCHO2 KIC_ID_UCAC5 KEPID_EXO KIC_APOKASCDWARF KIC_SAGA KIC_ID_ALLWISE KIC_LAMOST KIC_APOKASCDWARF KIC_BUCHHAVE kepid_EXO KIC_CKS KIC_VRARD KIC_MAST KIC_ID_BASTA KIC_ID_BASTAPLX KIC_ID_KIS,ID,KIC identifier,0,1
TIC_ID,TIC_HATT2023 TIC_TESSBRIGHT TIC_TESSCVZ TIC tic_TESSHON TIC_TIC,ID,"TESS Input Catalog ID",0,0
TMASS_ID,TMASS_ID_LAMOST TMASS_ID_GAIA tmass_id_EPIC TMASS_ID_EPIC twomass_id_COROTAC _2MASS_EPIC _2MASS_TIC TMASS_ID_GALEX 2MASSID_MAST 2MASS_TMASS _2MASS_TMASS 2MASS_EPIC TMASS_ID_APOGEE TMASS_ID_TYCHO2 TMASS_ID_UCAC5 TMASS_ID_BINARY star_id_GALAH TMASS_ID_ALLWISE original_ext_source_id_GAIA _2Mname_MAST 2Mname_MAST _2MASS_COROGEE _2MASS_RAVE 2MASS_RAVE 2MASS_HARPS tmass_id_GAIA 2MASS_MAST TMASS_ID_COROGEE twomass_cat1_SKYMAPPER TMASS_ID_BASTA ID_2MASS_RAVE twomass_EPIC 2MASS_SKYMAPPER star_id_GALAH,ID,"2MASS catalogue ID, a sexagesimal, equatorial position-based source name in the form: hhmmssss+ddmmsss",0,1
EPIC_ID,EPIC_ID_EPIC epic_id_EPIC EPIC EPIC_REYES2022 EPIC_ID_NEW EPIC_K2C1 ID_EPIC EPIC_ID_EPIC EPIC_ID_TYCHO2 EPIC_ID_UCAC5 EPIC_ID_ALLWISE epic_K2C2_BAM epic_K2C3_BAM epic_K2C4_BAM epic_K2C6_BAM epic_K2C7_BAM epic_K2C1_BAM EPIC_ID_BASTA EPIC_ID_BASTAPLX EPIC_MAST EPIC-ID_NEW id_EPIC epic_SKYMAPPER,ID,K2 Input Catalog ID,0,1
HIP_ID,HIP_TIC HIP_EPIC HIP_TYCHO2 HIP_ID_TYCHO2 HIP_ID_UCAC5 HIP_TYCHO2 HIP_MAST hip_EPIC,ID,Hipparcos identifier,0,0
TYC_ID,TYC_TIC TYC_EPIC TYC_TYCHO2 TYC_ID_TYCHO2 TYC_ID_UCAC5 TYC_MAST tyc_EPIC,ID,Unique identifier in Tycho-2 catalogue,0,0
UCAC4_ID,UCAC4_TIC UCAC4_EPIC UCAC4_ID_TYCHO2 UCAC4_ID_UCAC5 UCAC_MAST ucac_EPIC,ID,UCAC4 identifier,0,0
SDSS_ID, objID_TIC SDSS_EPIC SDSS_ID_TYCHO2 SDSS_ID_UCAC5 ID_SDSS_MAST SDSS_MAST sdss_EPIC,ID,Unique ID for SDSS,1,0
APOGEE_ID,APOGEE_ID_HORTA APOGEE_ID_APOGEE APOGEE_ID_BINARY APOGEE_ID_SANDERS APOGEE_COROGEE APOGEE_ID_BINARY,ID,Unique ID on IAU form for APOGEE stars,0,0
ALLWISE_ID,WISEA_TIC AllWISE_ALLWISE AllWISE_COROGEE,ID,Unique ALLWISE ID,0,0
LAMOST_ID,source_id_LAMOST,ID,Unique LAMOST ID,0,0
RAVE_ID,RAVE raveid_SANDERS,ID,RAVE target designation (JHHMMSS.S+DDMMSS),0,0
RAVE_OBS_ID,Name_RAVE RAVE_OBS_ID_RAVE,ID,RAVE target designation,0,0
RA_J2000_KIC_MAST,KICRA(J2000)_MAST,COORD,Right Ascension in decimal degree from the Kepler Input Catalogue extracted from MAST,0,0
DEC_J2000_KIC_MAST,KICDec(J2000)_MAST,COORD,Declination in decimal degree from the Kepler Input Catalogue extracted from MAST,0,0
RA_J2000_MAST,Ra(J2000)_MAST RA(J2000)_MAST RAJ2000_MAST,COORD,Right Ascension in decimal degrees extrated from MAST,0,0
DEC_J2000_MAST,Dec(J2000)_MAST DEC(J2000)_MAST DEJ2000_MAST,COORD,Declination in decimal degrees from MAST,0,0
RA_J2000_TMASS,ra_COROTAC Ra(J2000)_TMASS RAJ2000_TMASS RA_J2000_TMASS,COORD,Right ascension (J2000) in decimal degrees from 2MASS,0,1
DEC_J2000_TMASS,dec_COROTAC Dec(J2000)_TMASS DEJ2000_TMASS DEC_J2000_TMASS,COORD,Declination (J2000) in decimal degrees from 2MASS,0,1
RA_J2000_TMASS_MAST,2MASSRA(J2000)_MAST,COORD,Right ascension (J2000) from 2MASS extracted from MAST,0,0
DEC_J2000_TMASS_MAST,2MASSDec(J2000)_MAST,COORD,Declination (J2000) from 2MASS extracted from MAST,0,0
RA_J2000_EPIC,RAJ2000_EPIC RA_J2000_EPIC RA_MAST ra_EPIC k2_ra_EPIC,COORD,Right ascension (J2000) in decimal degrees extrated from EPIC,0,0
DEC_J2000_EPIC,DEJ2000_EPIC DEC_J2000_EPIC Dec_MAST dec_EPIC k2_dec_EPIC,COORD,Declination (J2000) in decimal degrees extrated from EPIC,0,0
RA_J2000_VIZIER_TYCHO2,_RAJ2000_TYCHO2,COORD,Mean right ascension in degrees in ICRS in epoch J2000 propagated from Tycho-2 by Vizier,0,0
DEC_J2000_VIZIER_TYCHO2,_DEJ2000_TYCHO2,COORD,Mean declination in ICRS in degrees at epoch=2000 propagated from Tycho-2 by Vizier,0,0
RA_J2000_GALAH,raj2000_GALAH,COORD,"Right ascension from 2MASS, J2000 in degrees extracted from GALAH",0,0
DEC_J2000_GALAH,dej2000_GALAH,COORD,"Declination from 2MASS, J2000 in degrees extracted from GALAH",0,0
RA_J2000_SAGA,_RA_SAGA,DELETE,Right Ascension (J2000) from KIC catalogue. Redundant as this column already is in the catalogue,1,0
DEC_J2000_SAGA,_DE_SAGA,DELETE,Declination (J2000) from KIC catalogue. Redundant as this column already is in the catalogue,1,0
RA_J2000_VRARD,_RA_VRARD,DELETE,Right Ascension (J2000) from Vrard+2016. Redundant as this column already is in the catalogue,1,0
DEC_J2000_VRARD,_DE_VRARD,DELETE,Declination (J2000) from Vrard+2016. Redundant as this column already is in the catalogue,1,0
RA_J2000_RAVE,RAJ2000_RAVE,COORD,Right ascension (J2000) from RAVE,0,0
DEC_J2000_RAVE,DEJ2000_RAVE,COORD,Declination (J2000) from RAVE,0,0
KEPLERMAG_YU,KEPMAG_YU,PHOT,Kepler magnitude in mag,0,0
